nest_ID,male_id,male_age,female_id,female_age,Site,NGR,Ref,find.date,fledge.date,year,obs.period,expo,outcome,outcome.1,clutch,chicks,fledged,brood,comments,Nest.found,x,y,altitude,Notes,Predated,distance_to_nearest_track,track50,track100,track150,track200,density_of_tracks,Ycons,tandc,exp,nest_age_atLoc,julian.day.find,julian.day.nest.initiation,julian.day.1,age.day.1,jdayinit,month,week
61,LJ60658,5,,,Brechfa,,6.1,22/06/2016,,2016,9,34,s,1,2,2,2,1,,yes,247947.4,232170.5,317.8,Clearing 9 - territory 12,0,65,0,1,1,1,,0,0,34,9,174,165,152,-13,165,6,24
62,,,LJ60505,4,Brechfa,,8.1,24/06/2016,,2016,16,36,s,1,2,2,2,1,,yes,248494.9,231153.8,308.3,Clearing 12 Same female as 2015,0,39,1,1,1,1,,0,0,36,19,176,157,152,-5,157,6,22
63,,,LJ17192,4,Brechfa,,5.1,03/07/2016,,2016,9,38,s,1,2,2,2,1,,yes,250067.1,232606,307.4,Main clearing,0,50,1,1,1,1,,0,0,38,22,185,163,152,-11,163,6,23
64,,,,,Brechfa,,3.1,03/07/2016,,2016,1,0,s,1,2,2,1,1,,yes,249044.4,233261.5,326,Terr 5-N of Crossroads. One chick predated by fox -while at FM/FL stage TERRITORY 5,1,37,1,1,1,1,,0,0,NA,36,185,149,152,3,149,5,21
65,,,,,Brechfa,,4.2,11/07/2016,,2016,11,23,f,0,2,2,0,2,,yes,249864,232818.1,303,Terr 8 -In thicket near clearing 27. Predated at c 12 days.,1,115,0,0,1,1,,0,0,23,19,193,174,152,-22,174,6,25
66,,,,,Brechfa,,1.1,12/07/2016,,2016,1,0,s,1,2,2,2,1,,yes,249102.4,234802.3,362.5,In top clearing,0,167,0,0,0,1,,0,0,NA,30,194,164,152,-12,164,6,23
67,,,,,Brechfa,,6.2,14/07/2016,,2016,9,10,f,0,2,2,0,2,,yes,247369.8,231346.4,309.5,"Clearing 2 2nd brood, predated at hatching stage",1,82,0,1,1,1,,0,0,10,10,196,186,152,-34,186,7,27
68,,,,,Brechfa,,6.1,13/07/2016,,2016,0,26,s,1,2,2,2,1,,yes,247368.8,231365.8,310,1st brood in Clearing 2,,64,0,1,1,1,,0,0,26,36,195,159,152,-7,159,6,23
69,,,,,Brechfa,,4.1,27/06/2016,,2016,0,16,f,0,2,2,0,1,,yes,249903.6,232703.9,302.8,Predated at hatching stage probably by fox,1,122,0,0,1,1,,0,0,16,19,179,160,152,-8,160,6,23
70,,,,,Brechfa,,2.1,31/05/2017,,2017,34,1,s,1,2,1,1,1,,yes,247368.8,231353.4,309.7,,0,74,0,1,1,1,,1,1,1,2,151,149,151,2,149,5,21
71,,,,,Brechfa,,21.1,04/06/2017,,2017,4,0,f,0,2,0,0,1,,yes,249156.5,232732.4,321.1,,0,49,1,1,1,1,,1,1,NA,2,155,153,151,-2,153,6,22
72,,,,,Brechfa,,12.1,02/06/2017,,2017,34,1,s,1,2,2,2,1,,yes,248495,231078.6,314.3,,0,96,0,1,1,1,,1,1,1,1,153,152,151,-1,152,6,22
73,,,,,Brechfa,,27A.1,12/06/2017,,2017,29,0,s,1,2,2,2,1,,yes,250087.9,232650.5,311.1,,0,53,0,1,1,1,,1,1,NA,7,163,156,151,-5,156,6,22
74,LJ60670,5,LJ84712,,Brechfa,,14.1,21/06/2017,,2017,21,0,f,0,2,2,0,1,,yes,248571.2,232718.6,324.1,,,85,0,1,1,1,,1,1,NA,6,172,166,151,-15,166,6,24
75,,,,,Brechfa,,11.1,10/07/2017,,2017,0,0,s,1,2,1,1,1,,yes,248446.5,231527.4,289.9,,,122,0,0,1,1,,1,1,NA,36,191,155,151,-4,155,6,22
76,,,,,Brechfa,,23.1,27/06/2017,,2017,30,34,s,1,2,2,2,1,,yes,248851.6,234353.4,345.2,,0,100,0,1,1,1,,1,1,34,6,178,172,151,-21,172,6,25
77,,,,,Brechfa,,2.2,02/07/2017,,2017,5,0,f,0,2,0,0,2,,yes,247366.2,231299.6,307.8,,,88,0,1,1,1,,1,1,NA,2,183,181,151,-30,181,7,26
78,LC03056,,,,Brechfa,,16.1,05/07/2017,,2017,11,34,s,1,2,2,2,1,,yes,249156.1,231943.7,306,,0,108,0,0,1,1,,1,1,34,25,186,161,151,-10,161,6,23
79,,,,,Brechfa,,OHL,07/07/2017,,2017,32,29,s,1,2,2,1,2,Overhead line,yes,247860.1,231577.2,312.2,,,53,0,1,1,1,,1,1,29,6,188,182,151,-31,182,7,26
80,,,LJ17192,,Brechfa,,12.2,14/07/2017,,2017,23,18,s,1,1,1,1,2,,yes,248443.3,230797.7,306.6,,,308,0,0,0,0,,1,0,18,11,195,184,151,-33,184,7,26
81,,,,,Brechfa,,21.2,25/07/2017,,2017,5,0,f,0,2,0,0,2,Probably the same female as T16,yes,249101.8,232777.7,323,,,61,0,1,1,1,,1,1,NA,3,206,203,151,-52,203,7,29
82,,,,,Brechfa,,27A.2,,,2017,0,30,s,1,1,1,1,2,based on single newly fledged juvenile ringed on 04/08/2017,no,250136.6,232718.3,311.7,,,72,0,1,1,1,,1,1,30,36,0,NA,151,187,NA,NA,NA
83,,,,,Brechfa,,27B.1,,,2017,0,1,s,1,1,1,1,1,"Based on independant juvenile trapped on 04/08/2017, and two females present in the area",no,250344.8,232567.5,294.2,,,60,0,1,1,1,,1,1,1,36,0,NA,151,187,NA,NA,NA
84,,,,,Brechfa,,18.2,,,2017,0,11,f,0,0,0,0,2,Female seen here on several occasions from 05/07/2017 with tagged male 311,no,249395.2,233547.8,316.3,,,85,0,1,1,1,,1,1,11,36,0,NA,151,187,NA,NA,NA
85,,,,,Brechfa,,18.1,,,2017,0,32,f,0,0,0,0,1,Behaviour of pair suggested a nest was present and intense clucking calls were heard on 26/06/2017. subsequent visits found no activity and failure is presumed,,248323.8,233769.3,338.8,,,81,0,1,1,1,,1,1,32,36,0,NA,151,187,NA,NA,NA
86,RK96122,4,LJ75945,4,PyC,SN9343702202,T71/ K02,14/06/2017,,2017,,23,s,1,2,2,2,1,,yes,293437,202202,434.8,,0,47,1,1,1,1,,0,0,23,10,165,155,151,-4,155,6,22
87,,,,,Bryn,SS8142891350,Quarry nest,16/07/2017,,2017,,1,s,1,2,2,1,1,,yes,281428,191350,218.7,,,21,1,1,1,1,,0,0,1,24,197,173,151,-22,173,6,25
88,,,LJ75940,4,PyC,SS8289898513,T6/C05,22/06/2017,,2017,,0,f,0,2,2,0,2,,yes,282880,198529,315.3,,1,95,0,1,1,1,,0,0,NA,15,173,158,151,-7,158,6,23
89,LB09362,4,LB09373,4,Bryn,SS8199990283,Slope N,23/07/2017,,2017,,0,s,1,2,2,2,1,,yes,281999,190283,236.8,,,86,0,1,1,1,,0,0,NA,30,204,174,151,-23,174,6,25
90,LB09363,4,LB09377,4,Bryn,SS8234590151,Slope S,07/08/2017,,2017,,0,s,1,2,2,2,2,,yes,282345,190151,253.9,,,79,0,1,1,1,,0,0,NA,34,219,185,151,-34,185,7,26
91,LH76726,4,LJ75959,4,PyC,SN8772701321,CE T21 area/B01,25/07/2017,,2017,,0,s,1,2,2,2,NA,,yes,287727,201321,431.8,,0,155,0,0,0,1,,0,0,NA,13,206,193,151,-42,193,7,28
92,,,LJ75945,4,PyC,SN9306102766,J01/ T60,06/07/2017,,2017,,19,s,1,2,2,2,2,2nd brood,yes,293050,202771,484.5,,0,85,0,1,1,1,,0,0,19,6,187,181,151,-30,181,7,26
93,,,LJ75937,4,PyC,SN9423401834,T73 slope/K03,06/07/2017,,2017,,23,f,0,2,2,0,NA,,yes,294221,201847,429.3,,1,40,1,1,1,1,,0,0,23,6,187,181,151,-30,181,7,26
94,LH76623,,LE43324,,Clocaenog,SJ0084354344  ,Nest 1 Carnedd Ci (2nd? brood),12/07/2017,,2017,,14,s,1,2,2,2,NA,,yes,300843,354344,449.1,Nest 1 Carnedd Ci (2nd? brood),0,142,0,0,1,1,,0,0,14,7,193,186,151,-35,186,7,27
95,LH76535,,LJ75949,,Clocaenog,SJ0239952172,Nest 2 Off Central Clearing  ,09/07/2017,,2017,,9,s,1,2,2,2,NA,,yes,302399,352172,430.6,Nest 2 Off Central Clearing  ,0,36,1,1,1,1,,0,0,9,15,190,175,151,-24,175,6,25
96,LE43318,,LJ75968,,Clocaenog,SJ0109256666,Nest 3 Aber Terfyn (2nd brood ?) ,22/07/2017,,2017,,1,f,0,2,1,0,NA,,yes,301092,356666,460.8,Nest 3 Aber Terfyn (2nd brood ?) ,?,75,0,1,1,1,,0,0,1,3,203,200,151,-49,200,7,29
97,,,,,Clocaenog,SJ0212054030,Nest 4  Llyfarddu (1st brood) ,06/07/2017,,2017,,0,s,1,1,1,1,NA,,yes,302120,354030,413.1,Nest 4  Llyfarddu (1st brood) ,0,49,1,1,1,1,,0,0,NA,26,187,161,151,-10,161,6,23
